config_a,config_b,delta_auroc,ci_lower,ci_upper,significant
efficientnetb0,vits16_gastronet,-0.0338,-0.0937,0.0042,False
resnet50_imagenet_sup,resnet50_gastronet,-0.0328,-0.0883,0.0058,False
resnet50_imagenet_sup,vits16_gastronet,-0.0309,-0.0871,0.0034,False
resnet50_imagenet,resnet50_gastronet,-0.027,-0.085,0.0123,False
resnet50_imagenet,vits16_gastronet,-0.0251,-0.0798,0.0094,False
efficientnetb0,vits16_imagenet_hf,-0.0212,-0.068,0.0054,False
vits16_imagenet,vits16_gastronet,-0.0222,-0.0641,0.0074,False
resnet50_imagenet_sup,vits16_imagenet_hf,-0.0183,-0.0635,0.0076,False
vitb16_imagenet,vits16_gastronet,-0.0241,-0.0635,0.0022,False
efficientnetb0,vitb16_imagenet,-0.0097,-0.0605,0.0203,False
efficientnetb0,vits16_imagenet,-0.0116,-0.0602,0.0215,False
resnet50_imagenet,vits16_imagenet_hf,-0.0125,-0.0571,0.0172,False
efficientnetb0,vitb16_imagenet_sup,-0.0135,-0.0556,0.0158,False
resnet50_imagenet_sup,vitb16_imagenet,-0.0068,-0.054,0.024,False
resnet50_imagenet_sup,vits16_imagenet,-0.0087,-0.053,0.0225,False
resnet50_imagenet,vits16_imagenet,-0.0029,-0.0524,0.0388,False
vitb16_imagenet_sup,vits16_gastronet,-0.0203,-0.052,0.0056,False
resnet50_imagenet,vitb16_imagenet,-0.001,-0.0517,0.0386,False
resnet50_imagenet_sup,vitb16_imagenet_sup,-0.0106,-0.051,0.0171,False
vits16_imagenet_hf,vits16_gastronet,-0.0125,-0.0429,0.0105,False
resnet50_imagenet,vitb16_imagenet_sup,-0.0048,-0.042,0.024,False
vitb16_imagenet,vits16_imagenet_hf,-0.0116,-0.037,0.0041,False
resnet50_imagenet_sup,resnet50_imagenet,-0.0058,-0.035,0.0204,False
vitb16_imagenet_sup,vits16_imagenet_hf,-0.0077,-0.0288,0.0118,False
resnet50_gastronet,vits16_gastronet,0.0019,-0.0266,0.029,False
vitb16_imagenet_sup,vits16_imagenet,0.0019,-0.023,0.0333,False
vitb16_imagenet_sup,vitb16_imagenet,0.0039,-0.0221,0.0359,False
resnet50_imagenet_sup,efficientnetb0,0.0029,-0.0197,0.0275,False
vitb16_imagenet,vits16_imagenet,-0.0019,-0.0186,0.0223,False
resnet50_gastronet,vits16_imagenet_hf,0.0145,-0.0135,0.0454,False
vits16_imagenet_hf,vits16_imagenet,0.0097,-0.0082,0.038,False
resnet50_imagenet,efficientnetb0,0.0087,-0.0065,0.03,False
resnet50_gastronet,efficientnetb0,0.0357,-0.005,0.0965,False
resnet50_gastronet,vits16_imagenet,0.0241,-0.0034,0.0643,False
resnet50_gastronet,vitb16_imagenet_sup,0.0222,-0.0014,0.0553,False
resnet50_gastronet,vitb16_imagenet,0.0261,0.0,0.0655,False
