config_a,config_b,delta_auroc,ci_lower,ci_upper,significant
resnet50_imagenet,resnet50_gastronet,-0.027,-0.1112,0.0037,False
efficientnetb0,vits16_gastronet,-0.0338,-0.1079,-0.0008,True
resnet50_imagenet,vits16_gastronet,-0.0251,-0.1009,0.0031,False
resnet50_imagenet_sup,vits16_gastronet,-0.0309,-0.0994,-0.0,True
resnet50_imagenet_sup,resnet50_gastronet,-0.0328,-0.0941,0.0027,False
efficientnetb0,vitb16_imagenet,-0.0097,-0.0905,0.0135,False
efficientnetb0,vits16_imagenet_hf,-0.0212,-0.0895,0.0009,False
efficientnetb0,vits16_imagenet,-0.0116,-0.0887,0.0123,False
resnet50_imagenet,vits16_imagenet_hf,-0.0125,-0.0814,0.0099,False
resnet50_imagenet_sup,vits16_imagenet_hf,-0.0183,-0.0774,0.004,False
resnet50_imagenet_sup,vits16_imagenet,-0.0087,-0.0757,0.0154,False
resnet50_imagenet,vits16_imagenet,-0.0029,-0.0735,0.0289,False
vitb16_imagenet,vits16_gastronet,-0.0241,-0.0726,-0.0009,True
resnet50_imagenet,vitb16_imagenet,-0.001,-0.0699,0.0305,False
resnet50_imagenet_sup,vitb16_imagenet,-0.0068,-0.0675,0.0192,False
vits16_imagenet,vits16_gastronet,-0.0222,-0.0652,0.0066,False
efficientnetb0,vitb16_imagenet_sup,-0.0135,-0.0621,0.0123,False
resnet50_imagenet_sup,vitb16_imagenet_sup,-0.0106,-0.0581,0.0133,False
resnet50_imagenet,vitb16_imagenet_sup,-0.0048,-0.0551,0.0177,False
vitb16_imagenet_sup,vits16_gastronet,-0.0203,-0.0533,0.0044,False
vitb16_imagenet,vits16_imagenet_hf,-0.0116,-0.0518,0.0008,False
vits16_imagenet_hf,vits16_gastronet,-0.0125,-0.0463,0.0085,False
vitb16_imagenet_sup,vits16_imagenet_hf,-0.0077,-0.0311,0.0098,False
resnet50_imagenet_sup,resnet50_imagenet,-0.0058,-0.0306,0.0266,False
resnet50_gastronet,vits16_gastronet,0.0019,-0.025,0.0305,False
vitb16_imagenet_sup,vits16_imagenet,0.0019,-0.0245,0.032,False
vitb16_imagenet,vits16_imagenet,-0.0019,-0.0187,0.0219,False
vitb16_imagenet_sup,vitb16_imagenet,0.0039,-0.018,0.0437,False
resnet50_imagenet_sup,efficientnetb0,0.0029,-0.0158,0.0332,False
resnet50_gastronet,vits16_imagenet_hf,0.0145,-0.0135,0.0453,False
resnet50_imagenet,efficientnetb0,0.0087,-0.0081,0.0281,False
vits16_imagenet_hf,vits16_imagenet,0.0097,-0.0063,0.0415,False
resnet50_gastronet,vits16_imagenet,0.0241,-0.0009,0.0723,False
resnet50_gastronet,efficientnetb0,0.0357,0.0014,0.1148,True
resnet50_gastronet,vitb16_imagenet_sup,0.0222,0.0018,0.0632,True
resnet50_gastronet,vitb16_imagenet,0.0261,0.0049,0.0854,True
