config,architecture,pretrain_data,pretrain_method,fold,threshold,auroc,accuracy,f1,precision,sensitivity,specificity,auroc_frame,accuracy_frame,f1_frame,precision_frame,sensitivity_frame,specificity_frame
resnet50_imagenet_sup,ResNet-50,ImageNet-1K,Supervised,1,0.46,0.8774,0.8462,0.8571,0.9091,0.8108,0.8929,0.8927,0.7222,0.6736,0.9111,0.5344,0.9396
resnet50_imagenet_sup,ResNet-50,ImageNet-1K,Supervised,2,0.3,0.9064,0.8,0.8312,0.8,0.8649,0.7143,0.8818,0.7947,0.8048,0.8212,0.7891,0.8011
resnet50_imagenet_sup,ResNet-50,ImageNet-1K,Supervised,3,0.42,0.9382,0.8462,0.8529,0.9355,0.7838,0.9286,0.919,0.822,0.8205,0.8939,0.7583,0.8957
resnet50_imagenet_sup,ResNet-50,ImageNet-1K,Supervised,4,0.27,0.9286,0.8615,0.8767,0.8889,0.8649,0.8571,0.9264,0.8449,0.8566,0.8497,0.8637,0.823
resnet50_imagenet_sup,ResNet-50,ImageNet-1K,Supervised,5,0.55,0.9228,0.8615,0.8732,0.9118,0.8378,0.8929,0.9237,0.8519,0.864,0.8516,0.8768,0.823
resnet50_imagenet,ResNet-50,ImageNet,Self-sup. (DINOv1),1,0.27,0.9151,0.8,0.8395,0.7727,0.9189,0.6429,0.912,0.8417,0.8576,0.8287,0.8886,0.7874
resnet50_imagenet,ResNet-50,ImageNet,Self-sup. (DINOv1),2,0.35,0.9527,0.8769,0.8919,0.8919,0.8919,0.8571,0.9487,0.8697,0.8755,0.8979,0.8543,0.8875
resnet50_imagenet,ResNet-50,ImageNet,Self-sup. (DINOv1),3,0.48,0.9363,0.8,0.806,0.9,0.7297,0.8929,0.9412,0.836,0.8373,0.8949,0.7867,0.893
resnet50_imagenet,ResNet-50,ImageNet,Self-sup. (DINOv1),4,0.34,0.9305,0.8615,0.8831,0.85,0.9189,0.7857,0.9352,0.8614,0.8777,0.8337,0.9265,0.786
resnet50_imagenet,ResNet-50,ImageNet,Self-sup. (DINOv1),5,0.41,0.9353,0.8923,0.9067,0.8947,0.9189,0.8571,0.9493,0.8907,0.9036,0.8574,0.955,0.8162
resnet50_gastronet,ResNet-50,GastroNet-5M,Self-sup. (DINOv1),1,0.22,0.9614,0.8615,0.8861,0.8333,0.9459,0.75,0.9652,0.8919,0.8948,0.9365,0.8566,0.9328
resnet50_gastronet,ResNet-50,GastroNet-5M,Self-sup. (DINOv1),2,0.21,0.9624,0.8308,0.8706,0.7708,1.0,0.6071,0.9563,0.8563,0.8769,0.8115,0.9538,0.7435
resnet50_gastronet,ResNet-50,GastroNet-5M,Self-sup. (DINOv1),3,0.12,0.9479,0.8308,0.8533,0.8421,0.8649,0.7857,0.945,0.8824,0.8864,0.9197,0.8555,0.9136
resnet50_gastronet,ResNet-50,GastroNet-5M,Self-sup. (DINOv1),4,0.1,0.9595,0.8769,0.8947,0.8718,0.9189,0.8214,0.9486,0.8983,0.9065,0.894,0.9194,0.8738
resnet50_gastronet,ResNet-50,GastroNet-5M,Self-sup. (DINOv1),5,0.17,0.9382,0.8,0.8354,0.7857,0.8919,0.6786,0.9363,0.8938,0.8962,0.9425,0.8543,0.9396
efficientnetb0,EfficientNet-B0,ImageNet-1K,Supervised,1,0.33,0.9189,0.8154,0.8537,0.7778,0.9459,0.6429,0.9229,0.8474,0.8537,0.8794,0.8294,0.8683
efficientnetb0,EfficientNet-B0,ImageNet-1K,Supervised,2,0.4,0.918,0.8308,0.8493,0.8611,0.8378,0.8214,0.9132,0.8277,0.8507,0.7951,0.9147,0.727
efficientnetb0,EfficientNet-B0,ImageNet-1K,Supervised,3,0.49,0.9382,0.8615,0.88,0.8684,0.8919,0.8214,0.9367,0.8576,0.8614,0.9016,0.8246,0.8957
efficientnetb0,EfficientNet-B0,ImageNet-1K,Supervised,4,0.42,0.918,0.8154,0.85,0.7907,0.9189,0.6786,0.9212,0.8252,0.8417,0.8186,0.8661,0.7778
